quaryContent,code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare,code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio,code,pubDate,statDate,YOYEquity,YOYAsset,YOYNI,YOYEPSBasic,YOYPNI,code,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity,code,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr,code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.600000-2007-1,sh.600000,2007-04-28,2007-03-31,0.038826,0.185103,,978286343.730000,0.826488,,4354882697.00,1332263340.00,sh.600000,2007-04-28,2007-03-31,,,,,,0.007585,sh.600000,2007-04-28,2007-03-31,0.638243,0.174635,0.336353,,0.336353,sh.600000,2007-04-28,2007-03-31,,,,0.162182,0.963519,27.411742,sh.600000,2007-04-28,2007-03-31,,,,,0.500611,2.704495,0.500611,sh.600000,2007-04-28,2007-03-31,0.038826,27.651976,0.007585,1.000000,0.185103,0.580771,,
sh.600000-2007-2,sh.600000,2007-08-22,2007-06-30,0.100509,0.219910,,2553792630.570000,0.988152,11612895000.000000,4354882697.00,3260608265.00,sh.600000,2007-08-22,2007-06-30,,,,,,0.015917,sh.600000,2007-08-22,2007-06-30,0.529989,0.221540,0.592603,0.429268,0.592603,sh.600000,2007-08-22,2007-06-30,,,,0.212955,0.966083,29.483555,sh.600000,2007-08-22,2007-06-30,,,,,2.343903,10.658463,2.343903,sh.600000,2007-08-22,2007-06-30,0.100509,28.714521,0.015917,1.000000,0.219910,0.464588,,
sh.600000-2007-3,sh.600000,2007-10-27,2007-09-30,0.150558,0.214256,,3923104068.250000,1.105819,,4354882697.00,3260608265.00,sh.600000,2007-10-27,2007-09-30,,,,,,0.023876,sh.600000,2007-10-27,2007-09-30,0.531932,0.323670,0.594486,0.578947,0.594486,sh.600000,2007-10-27,2007-09-30,,,,0.317661,0.967542,30.808917,sh.600000,2007-10-27,2007-09-30,,,,,2.891676,13.496361,2.891676,sh.600000,2007-10-27,2007-09-30,0.150558,29.430698,0.023876,1.000000,0.214256,0.484992,,
sh.600000-2007-4,sh.600000,2008-02-28,2007-12-31,0.207485,0.212501,,5498775402.980000,1.262669,25876434000.000000,4354882697.00,3538227622.00,sh.600000,2008-02-28,2007-12-31,,,,,,0.032258,sh.600000,2008-02-28,2007-12-31,0.144717,0.327293,0.638531,0.482353,0.638531,sh.600000,2008-02-28,2007-12-31,,,,0.334083,0.969073,32.333897,sh.600000,2008-02-28,2007-12-31,,,,,2.141979,10.079840,2.141979,sh.600000,2008-02-28,2007-12-31,0.207485,30.267991,0.032258,1.000000,0.212501,0.511119,,
sh.600000-2008-1,sh.600000,2008-04-26,2008-03-31,0.094165,0.349795,,2811626623.850000,1.682987,,4354882697.00,3538227622.00,sh.600000,2008-04-26,2008-03-31,,,,,,0.008620,sh.600000,2008-04-26,2008-03-31,0.223147,0.349234,1.865529,1.826087,1.865529,sh.600000,2008-04-26,2008-03-31,,,,0.354008,0.966928,30.237466,sh.600000,2008-04-26,2008-03-31,,,,,-0.589015,-1.683889,-0.589015,sh.600000,2008-04-26,2008-03-31,0.094165,31.230895,0.008620,1.000000,0.349795,0.761823,,
sh.600000-2008-2,sh.600000,2008-08-23,2008-06-30,0.202680,0.381584,,6374787462.920000,1.646211,,5661347506.00,5012174267.00,sh.600000,2008-08-23,2008-06-30,,,,,,0.017424,sh.600000,2008-08-23,2008-06-30,0.325368,0.302339,1.496204,1.511111,1.496204,sh.600000,2008-08-23,2008-06-30,,,,0.301530,0.965483,28.971262,sh.600000,2008-08-23,2008-06-30,,,,,1.307070,3.425383,1.307070,sh.600000,2008-08-23,2008-06-30,0.202680,30.483947,0.017424,1.000000,0.381584,0.759325,,
sh.600000-2008-3,sh.600000,2008-10-30,2008-09-30,0.296527,0.382923,,9843965479.110000,2.017123,,5661347506.00,5012174267.00,sh.600000,2008-10-30,2008-09-30,,,,,,0.025322,sh.600000,2008-10-30,2008-09-30,0.389995,0.320979,1.509229,1.521739,1.509229,sh.600000,2008-10-30,2008-09-30,,,,0.318664,0.965846,29.279212,sh.600000,2008-10-30,2008-09-30,,,,,2.409267,6.291784,2.409267,sh.600000,2008-10-30,2008-09-30,0.296527,30.581132,0.025322,1.000000,0.382923,0.760415,,
sh.600000-2008-4,sh.600000,2009-04-10,2008-12-31,0.357715,0.362142,,12515831460.260000,2.210775,34560567000.000000,5661347506.00,5012174267.00,sh.600000,2009-04-10,2008-12-31,,,,,,0.031074,sh.600000,2009-04-10,2008-12-31,0.472883,0.431097,1.276113,1.278351,1.276137,sh.600000,2009-04-10,2008-12-31,,,,0.429738,0.968153,31.399735,sh.600000,2009-04-10,2008-12-31,,,,,3.052728,8.429644,3.052728,sh.600000,2009-04-10,2008-12-31,0.357715,31.787532,0.031074,1.000011,0.362142,0.817844,,
sh.600000-2009-1,sh.600000,2009-04-30,2009-03-31,0.068307,0.374646,,2960465617.630000,2.237062,,5661347506.00,5012174267.00,sh.600000,2009-04-30,2009-03-31,,,,,,0.005625,sh.600000,2009-04-30,2009-03-31,0.432283,0.579043,0.052937,0.052314,0.052929,sh.600000,2009-04-30,2009-03-31,,,,0.584038,0.969987,33.319204,sh.600000,2009-04-30,2009-03-31,,,,,4.239950,11.317211,4.239950,sh.600000,2009-04-30,2009-03-31,0.068307,32.412952,0.005625,0.999993,0.374646,0.765108,,
sh.600000-2009-2,sh.600000,2009-08-29,2009-06-30,0.153257,0.406621,,6781372028.830000,1.630338,16677371000.000000,7925886508.00,7925886508.00,sh.600000,2009-08-29,2009-06-30,,,,,,0.011388,sh.600000,2009-08-29,2009-06-30,0.352572,0.615266,0.063780,0.064677,0.063673,sh.600000,2009-08-29,2009-06-30,,,,0.624608,0.971067,34.562896,sh.600000,2009-08-29,2009-06-30,,,,,0.404333,0.994373,0.404333,sh.600000,2009-08-29,2009-06-30,0.153257,33.099496,0.011388,0.999900,0.406621,0.754822,,
